"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Tampa Bay Buccaneers","","44.2","14.4","11.8","19.2","2.9","0.6","365.8","5,557.2","114.9"
"Buffalo Bills","","43.3","16.3","10.0","15.4","2.8","0.6","331.5","5,285.5","113.6"
"Pittsburgh Steelers","","48.9","14.3","10.3","15.6","2.5","0.2","391.3","5,870.0","113.3"
"Dallas Cowboys","","40.0","16.5","10.6","16.1","3.0","0.3","375.7","5,844.2","112.4"
"Green Bay Packers","","43.0","16.4","9.6","14.2","2.8","0.2","357.0","5,598.6","112.4"
"Los Angeles Rams","","43.4","14.6","10.1","12.8","2.8","0.5","364.6","5,674.9","110.8"
"New Orleans Saints","","43.9","15.0","9.8","14.0","2.6","0.2","338.9","5,615.1","109.5"
"Miami Dolphins","","44.2","14.6","9.7","16.2","2.6","0.6","374.4","5,698.7","109.5"
"Los Angeles Chargers","","42.1","14.1","10.8","17.5","2.7","0.6","394.8","5,863.4","109.1"
"San Francisco 49ers","","44.7","13.8","10.5","16.8","2.6","0.2","358.3","5,513.2","109.0"
"Indianapolis Colts","","35.9","15.2","11.2","17.7","2.7","0.9","365.3","5,717.3","106.8"
"New England Patriots","","40.5","14.9","9.5","13.4","2.5","0.5","365.3","5,717.3","105.7"
"Minnesota Vikings","","42.0","13.8","9.4","14.2","2.8","0.2","389.8","5,874.7","105.5"
"Cleveland Browns","","42.8","14.4","8.9","13.5","2.5","0.5","370.5","5,589.4","105.3"
"Kansas City Chiefs","","37.8","14.1","10.4","18.0","2.8","0.5","390.0","6,012.0","104.7"
"Arizona Cardinals","","38.9","13.5","11.3","18.9","2.4","0.5","390.5","5,838.2","103.8"
"Denver Broncos","","40.6","14.0","9.0","13.8","2.6","0.2","383.9","5,842.1","102.5"
"Tennessee Titans","","41.8","13.7","8.8","13.1","2.5","0.2","360.8","5,785.7","102.0"
"Cincinnati Bengals","","39.8","14.4","8.9","14.7","2.4","0.6","376.2","5,919.6","101.9"
"Washington Commanders","","39.7","13.2","10.0","15.8","2.5","0.2","389.1","5,880.7","101.8"
"Baltimore Ravens","","38.8","13.6","9.6","15.0","2.6","0.6","355.7","5,777.5","101.7"
"Chicago Bears","","41.9","12.4","9.9","15.7","2.3","0.5","401.9","5,817.1","101.6"
"Carolina Panthers","","39.4","12.7","9.9","13.7","2.4","0.2","408.2","5,622.4","99.8"
"Philadelphia Eagles","","39.6","12.6","8.7","13.5","2.7","0.5","376.4","5,760.4","99.3"
"New York Giants","","38.2","12.9","9.3","13.5","2.3","0.5","403.7","5,794.5","97.2"
"Seattle Seahawks","","36.9","12.8","8.9","12.0","2.2","0.6","399.4","6,087.8","94.5"
"Houston Texans","","35.4","12.5","9.4","14.9","2.3","0.2","433.1","6,390.1","93.7"
"Jacksonville Jaguars","","38.9","11.8","8.4","11.1","2.2","0.5","427.4","6,110.3","93.7"
"Las Vegas Raiders","","36.3","12.0","9.4","14.4","2.2","0.5","416.9","5,794.5","93.4"
"New York Jets","","36.2","12.2","9.2","15.2","2.3","0.2","435.0","6,218.7","93.2"
"Detroit Lions","","35.4","12.3","9.1","13.7","2.2","0.5","439.0","6,245.2","92.5"
"Atlanta Falcons","","31.0","12.8","8.9","12.8","2.1","0.2","433.6","6,123.3","87.6"
""
""
