Player,Pos,Team,FantasyPoints,Value,Value Rank,ADP Rank,Diff in ADP and Value
Christian McCaffrey,RB,CAR,337.78,1.0,1.0,1.0,0.0
Jonathan Taylor,RB,IND,333.67,0.9919387422868868,2.0,2.0,0.0
Austin Ekeler,RB,LAC,325.04,0.9750120624659213,4.0,3.0,-1.0
Dalvin Cook,RB,MIN,265.29,0.8578198122570346,12.0,4.0,-8.0
Justin Jefferson,WR,MIN,311.88000000000005,0.8985772174342843,6.0,5.0,-1.0
Cooper Kupp,WR,LAR,359.16,0.9913111017836761,3.0,6.0,3.0
Najee Harris,RB,PIT,274.41,0.8757075665985417,9.0,7.0,-2.0
Derrick Henry,RB,TEN,292.43,0.9110515724355983,5.0,8.0,3.0
D'Andre Swift,RB,DET,255.17000000000002,0.8379706813429939,15.0,9.0,-6.0
Travis Kelce,TE,KC,272.13,0.8342244520894546,17.0,10.0,-7.0
Ja'Marr Chase,WR,CIN,301.44,0.8781004460170327,8.0,11.0,3.0
Joe Mixon,RB,CIN,272.77,0.8724909090195863,10.0,12.0,2.0
Stefon Diggs,WR,BUF,280.39000000000004,0.8368134691651992,16.0,13.0,-3.0
Davante Adams,WR,LV,292.82,0.8611933799617925,11.0,14.0,3.0
Alvin Kamara,RB,NO,278.89,0.8844945336434924,7.0,15.0,8.0
Aaron Jones,RB,GB,259.15999999999997,0.845796573867403,14.0,16.0,2.0
Saquon Barkley,RB,NYG,252.47,0.832674964597153,18.0,17.0,-1.0
CeeDee Lamb,WR,DAL,264.19000000000005,0.8050391686901537,23.0,18.0,-5.0
Mark Andrews,TE,BAL,268.0,0.8261239668448905,20.0,19.0,-1.0
Leonard Fournette,RB,TB,263.56,0.8544266307865513,13.0,20.0,7.0
Mike Evans,WR,TB,256.33000000000004,0.789622748830039,25.0,21.0,-4.0
Keenan Allen,WR,LAC,248.83,0.7749124245360366,28.0,22.0,-6.0
Tyreek Hill,WR,MIA,262.05,0.8008418228249315,24.0,23.0,-1.0
Javonte Williams,RB,DEN,242.62,0.8133554053576962,22.0,24.0,2.0
Deebo Samuel,WR,SF,277.0,0.8301644025843099,19.0,25.0,6.0
Michael Pittman Jr.,WR,IND,245.08,0.7675572623890353,31.0,26.0,-5.0
Nick Chubb,RB,CLE,222.05000000000004,0.7730098892606788,29.0,27.0,-2.0
A.J. Brown,WR,PHI,239.42,0.7564558709884945,35.0,28.0,-7.0
Tee Higgins,WR,CIN,250.70000000000002,0.7785801987266745,27.0,29.0,2.0
James Conner,RB,ARI,244.49,0.8170231795483343,21.0,30.0,9.0
DJ Moore,WR,CAR,238.44000000000003,0.7545337219474118,36.0,31.0,-5.0
Kyle Pitts,TE,ATL,199.48,0.6917304440948836,66.0,32.0,-34.0
Ezekiel Elliott,RB,DAL,220.92,0.7707935337337157,30.0,33.0,3.0
Josh Allen,QB,BUF,387.502,0.7600373446099412,34.0,34.0,0.0
Diontae Johnson,WR,PIT,237.73,0.7531411445809129,37.0,35.0,-2.0
Travis Etienne Jr.,RB,JAC,210.87,0.7510816991797523,39.0,36.0,-3.0
Jaylen Waddle,WR,MIA,228.52000000000004,0.7350768663478777,43.0,37.0,-6.0
Breece Hall,RB,NYJ,216.02000000000004,0.7611827885283009,33.0,38.0,5.0
David Montgomery,RB,CHI,227.97,0.784621238570078,26.0,39.0,13.0
Mike Williams,WR,LAC,231.03,0.7399999215449371,42.0,40.0,-2.0
Terry McLaurin,WR,WAS,220.68,0.7196996740192138,49.0,41.0,-8.0
Courtland Sutton,WR,DEN,211.08000000000004,0.7008704589228906,58.0,42.0,-16.0
Cam Akers,RB,LAR,211.33,0.7519839324031179,38.0,43.0,5.0
Justin Herbert,QB,LAC,342.70599999999996,0.672175519666723,78.0,44.0,-34.0
Brandin Cooks,WR,HOU,243.32999999999998,0.7641248533871012,32.0,45.0,13.0
Allen Robinson II,WR,LAR,202.31,0.6836691863817703,72.0,46.0,-26.0
Patrick Mahomes II,QB,KC,361.412,0.7088650298325377,51.0,47.0,-4.0
George Kittle,TE,SF,189.68,0.6725089536840537,77.0,48.0,-29.0
J.K. Dobbins,RB,BAL,207.90999999999997,0.7452760245250526,41.0,49.0,8.0
Lamar Jackson,QB,BAL,339.33400000000006,0.6655617578641396,81.0,50.0,-31.0
DK Metcalf,WR,SEA,224.04000000000005,0.726289899302927,45.0,51.0,6.0
AJ Dillon,RB,GB,181.16000000000003,0.6928092012097772,64.0,52.0,-12.0
Darren Waller,TE,LV,200.20000000000002,0.6931426352271078,62.0,53.0,-9.0
Josh Jacobs,RB,LV,209.43,0.748257316915304,40.0,54.0,14.0
Elijah Mitchell,RB,SF,197.45000000000005,0.7247600255763506,46.0,55.0,9.0
Marquise Brown,WR,ARI,206.21999999999997,0.6913381687803769,67.0,56.0,-11.0
Darnell Mooney,WR,CHI,212.46000000000004,0.7035771585929871,55.0,57.0,2.0
Michael Thomas,WR,NO,222.92999999999998,0.7241127713074144,47.0,58.0,11.0
Jerry Jeudy,WR,DEN,211.91000000000003,0.7024984014780935,56.0,59.0,3.0
Rashod Bateman,WR,BAL,195.91,0.6711163763175547,79.0,60.0,-19.0
Amon-Ra St. Brown,WR,DET,224.79,0.727760931732327,44.0,61.0,17.0
Chase Edmonds,RB,MIA,172.89,0.6765886169549236,75.0,62.0,-13.0
Chris Godwin,WR,TB,214.69,0.7079510283497371,52.0,63.0,11.0
Dalton Schultz,TE,DAL,194.32,0.6816097409806099,73.0,64.0,-9.0
Kyler Murray,QB,ARI,338.784,0.6644830007492459,83.0,65.0,-18.0
JuJu Smith-Schuster,WR,KC,206.65,0.6921815607065663,65.0,66.0,1.0
Jalen Hurts,QB,PHI,336.716,0.6604268739972464,84.0,67.0,-17.0
Clyde Edwards-Helaire,RB,KC,186.70000000000002,0.7036752274216137,54.0,68.0,14.0
Amari Cooper,WR,CLE,203.57,0.6861405208631627,70.0,69.0,-1.0
Antonio Gibson,RB,WAS,178.88,0.6883372626244003,68.0,70.0,2.0
Kareem Hunt,RB,CLE,169.51,0.6699591641397599,80.0,71.0,-9.0
Elijah Moore,WR,NYJ,202.32000000000002,0.6836888001474957,71.0,72.0,1.0
Tony Pollard,RB,DAL,188.57999999999998,0.707362615377977,53.0,73.0,20.0
Miles Sanders,RB,PHI,195.25,0.7204449971167765,48.0,74.0,26.0
Gabriel Davis,WR,BUF,210.19000000000003,0.6991248337733357,59.0,75.0,16.0
Joe Burrow,QB,CIN,311.08799999999997,0.6101607151963535,103.0,76.0,-27.0
Damien Harris,RB,NE,190.31,0.7107557968484602,50.0,77.0,27.0
Adam Thielen,WR,MIN,203.77000000000004,0.6865327961776695,69.0,78.0,9.0
T.J. Hockenson,TE,DET,166.73,0.627495361344406,96.0,79.0,-17.0
Rhamondre Stevenson,RB,NE,173.32000000000002,0.6774320088811132,74.0,80.0,6.0
Cordarrelle Patterson,RB,ATL,185.62,0.7015569407232772,57.0,81.0,24.0
Dallas Goedert,TE,PHI,171.95,0.6377337470530318,91.5,82.0,-9.5
Rashaad Penny,RB,SEA,167.14000000000001,0.6653107016628551,82.0,83.0,1.0
Tom Brady,QB,TB,325.542,0.6385104521757551,88.0,84.0,-4.0
Devin Singletary,RB,BUF,181.29000000000002,0.6930641801642066,63.0,85.0,22.0
Russell Wilson,QB,DEN,297.11,0.5827445934654779,125.0,86.0,-39.0
Dak Prescott,QB,DAL,325.14599999999996,0.6377337470530318,91.5,87.0,-4.5
Hunter Renfrow,WR,LV,208.47000000000003,0.6957512660685777,60.0,88.0,28.0
Melvin Gordon III,RB,DEN,153.08,0.6377337470530318,91.5,89.0,-2.5
Drake London,WR,ATL,178.89,0.6377337470530318,91.5,90.0,-1.5
Brandon Aiyuk,WR,SF,179.23000000000002,0.6384006150876933,89.0,91.0,2.0
DeVonta Smith,WR,PHI,181.73,0.6433040565190274,87.0,92.0,5.0
Zach Ertz,TE,ARI,158.99,0.6123143066729955,101.0,93.0,-8.0
Christian Kirk,WR,JAC,185.81,0.6513064729349648,85.0,94.0,9.0
Trey Lance,QB,SF,302.63200000000006,0.5935753148990089,112.0,95.0,-17.0
Allen Lazard,WR,GB,172.48999999999998,0.6251809369888164,97.0,96.0,-1.0
Tyler Lockett,WR,SEA,208.15,0.6951236255653669,61.0,97.0,36.0
Dameon Pierce,RB,HOU,124.82000000000001,0.5823052451132303,126.0,98.0,-28.0
James Cook,RB,BUF,129.34,0.5911706672210825,117.0,99.0,-18.0
Matthew Stafford,QB,LAR,302.05800000000005,0.5924494847463746,115.0,100.0,-15.0
Ken Walker III,RB,SEA,123.00999999999999,0.5787551535169443,132.0,101.0,-31.0
Aaron Rodgers,QB,GB,310.732,0.6094624651365316,104.0,102.0,-2.0
DeAndre Hopkins,WR,ARI,165.73999999999998,0.6119416451242141,102.0,103.0,1.0
Robert Woods,WR,TEN,198.32999999999998,0.6758629076230862,76.0,104.0,28.0
Kadarius Toney,WR,NYG,169.54,0.6193948760998419,98.0,105.0,7.0
Pat Freiermuth,TE,PIT,148.46,0.5916610113642159,116.0,106.0,-10.0
Nyheim Hines,RB,IND,124.11,0.5809126677467313,128.0,107.0,-21.0
Michael Carter,RB,NYJ,132.21,0.5967998179842541,111.0,108.0,-3.0
Cole Kmet,TE,CHI,145.28,0.5854238338635589,121.0,109.0,-12.0
Dawson Knox,TE,BUF,145.46000000000004,0.585776881646615,120.0,110.0,-10.0
